user_id,count
22254,78
21783,12
10351,3
20428,35
18556,1
11888,39
9993,86
16576,211
24269,116
3606,33
13282,133
21452,125
14204,181
25912,69
21259,1
2136,9
13865,8
4032,22
14887,3
6731,2
18314,3
12529,285
18130,6
13610,79
8304,20
18574,55
3210,3
2162,21
11078,49
21889,86
21249,9
16974,15
22596,2
23459,11
16504,61
19338,6
9583,7
26112,215
296,103
26439,2
23097,146
675,80
11563,11
691,9
15634,165
16250,119
24114,6
15271,1
25894,131
7273,17
1090,4
13187,45
19919,25
19990,13
4894,41
23514,1
11247,94
6366,5
17551,2
20256,77
16549,2
6558,8
2393,127
9975,7
23479,59
11205,155
21711,22
10272,12
1669,2
944,33
8092,75
19369,97
9569,31
3368,52
14879,9
12888,23
6797,121
5067,129
4838,53
853,2
3281,125
5523,12
22542,27
24528,167
20959,123
19289,221
15539,2
2756,222
25821,145
26222,2
3015,85
1394,3
25155,7
1808,112
12003,5
2700,136
1870,7
24580,158
26456,6
5913,2
19051,92
10250,135
12811,18
24285,185
11822,102
18683,2
3838,103
14525,7
23565,2
17741,6
18462,1
25685,16
3949,2
12204,6
13460,133
26360,1
13660,2
16619,2
6081,14
7418,202
4850,13
919,1
3526,2
19390,2
11351,35
5757,3
13107,27
2725,4
24905,3
17260,9
7301,112
5316,178
21016,3
25865,3
19817,98
20546,2
3836,110
11687,41
1361,192
17438,18
5181,3
11251,4
11106,2
8763,239
4249,24
16093,2
10993,74
17128,21
22335,34
12608,88
10110,69
14439,14
8145,2
14340,42
5234,1
6380,15
26338,4
12957,3
591,207
17718,17
3266,42
16946,15
20899,2
14649,141
22920,134
22154,31
8583,161
12816,2
26541,27
5082,2
15176,29
4988,35
8409,7
12710,20
14392,108
22431,118
13027,114
10616,65
11902,95
4236,95
18714,32
22893,149
18211,35
13805,78
21833,13
9835,56
6143,85
9622,9
25835,10
11878,48
14313,40
25582,42
17715,3
3312,10
4665,3
14810,104
16654,49
7544,1
8279,4
13906,2
6033,152
307,1
17583,1
17375,17
5986,2
18750,220
21117,11
26131,3
8179,100
22043,64
3898,5
10668,26
16798,9
20098,79
8082,1
1773,95
10417,23
17099,64
7014,33
24758,4
23535,32
22652,16
6464,100
20592,16
18339,98
13655,12
3895,98
22831,27
15829,2
13337,2
13180,27
24521,9
6758,118
26415,63
19253,2
23959,19
5134,46
7013,2
11795,14
16133,7
2129,1
6264,168
2644,118
6278,17
740,29
13071,113
17930,64
9314,4
12386,3
4417,64
5543,63
22895,87
20714,194
14116,148
15107,162
17855,3
26196,9
22184,43
19985,40
4465,105
12508,66
14361,35
22049,67
12789,2
15343,2
17403,279
334,18
544,12
24631,41
23250,2
3786,13
23171,223
6217,70
9028,12
169,39
581,2
17570,13
24174,8
19333,40
9296,15
2477,12
14164,117
12466,137
7402,1
3241,62
577,4
2915,3
14353,26
442,159
26132,248
9440,163
20433,2
4078,19
22022,250
11929,105
21951,4
975,5
11966,129
13929,2
743,257
7353,3
2718,198
9656,157
17033,3
23928,14
22800,45
3891,13
13352,73
12643,21
3365,2
21309,35
18223,39
23895,119
23934,19
18918,1
15972,3
26593,40
4685,69
14991,37
11965,2
22543,21
4315,65
1104,3
26142,2
12274,5
20058,29
19717,4
10487,51
7015,1
20387,65
26629,3
20372,8
10260,1
11592,2
19804,49
1418,79
22633,121
25123,11
6091,122
18913,11
282,2
19442,300
2953,1
26609,2
1487,2
26673,73
22014,84
2341,13
11405,6
15100,4
13328,1
9441,1
2144,44
383,207
11945,7
10563,19
16085,2
12498,2
3454,2
8682,86
10676,160
1305,52
5412,64
16255,5
19085,213
19773,184
17303,4
10557,70
54,32
20914,2
26782,5
232,5
26217,66
6612,2
26206,2
3280,11
19896,43
19249,1
18312,350
14672,101
18577,24
3819,21
16668,157
12081,37
6069,66
3661,2
3996,29
25200,143
22923,49
11048,21
22375,56
1936,8
5377,192
635,853
2988,9
20349,114
1496,2
4205,10
4730,1
1207,80
1791,2
24111,17
24092,120
10628,2
17179,2
8547,2
23496,56
940,83
11588,59
23080,2
17623,109
25766,2
12420,28
8424,37
851,2
18715,67
19811,331
19250,46
9016,67
15014,2
12192,66
5096,224
20243,74
25117,70
9472,33
15210,3
11428,10
21283,40
8432,20
19777,20
