COMMUNITY AREA NAME,sum(KWH JANUARY 2010),sum(KWH FEBRUARY 2010),sum(KWH MARCH 2010),sum(KWH APRIL 2010),sum(KWH MAY 2010),sum(KWH JUNE 2010),sum(KWH JULY 2010),sum(KWH AUGUST 2010),sum(KWH SEPTEMBER 2010),sum(KWH OCTOBER 2010),sum(KWH NOVEMBER 2010),sum(KWH DECEMBER 2010)
North Park,8876533,8573226,8167988,8779141,10645485,12916242,12570623,10952604,8726990,8751910,11360708,10679796
Near North Side,144229369,134469938,118268260,112000092,131051613,151429911,164105236,158465269,136066286,119297677,145194095,179874978
North Center,9121512,9238168,8797493,8867187,11575216,16054043,17083810,14662017,10989120,10602659,12891653,14865033
Ashburn,10784936,10657440,10168703,10448903,13935993,18845801,20510478,16050164,11894014,11782283,15140879,16937727
Garfield Ridge,9587086,9027068,8183398,8735132,10696924,15173733,17801228,16525890,10398235,9005454,10745121,13042928
North Lawndale,8540070,9344160,9149570,8874733,9778012,10490209,12859575,12535176,11322615,9686044,12204229,13702546
Lincoln Park,28662486,27244024,25282095,25102611,31425713,39478559,42920332,41420785,31834193,28368218,33736525,40731118
Beverly,5624419,5900692,5386120,5716720,7797878,11195282,10944642,8034612,6252626,5942552,9192613,8455207
West Ridge,12698603,12863069,12182754,13321556,17786970,23293109,22804211,18351610,13610150,14445734,19215601,19035240
Chicago Lawn,7821448,7977978,7717301,7401325,9125726,11968303,13290135,12367994,8926113,8382348,10969587,13052593
New City,21014804,20973669,19908614,19992203,21567951,24145535,25419025,25708674,22702263,20629126,22907813,23688288
Oakland,1167476,1196113,1135873,1016543,1071981,1208318,1473224,1419228,1171270,1042316,1341302,1766215
Kenwood,5137525,4918380,4740613,4488093,5348114,6429937,7384091,7658192,5693213,4911982,6002072,6993064
O'Hare,6453190,5983565,5608607,5659495,7063995,8574943,8044997,6949547,5686523,6010869,8378617,7807646
Riverdale,11010248,13565130,12175426,13073931,14097800,14247128,15037819,11436353,12522343,11844321,12765569,2817456
Hegewisch,1565474,1741986,1664753,1907687,2215826,2943318,3740674,3375732,2427933,2064173,2378460,2726024
Calumet Heights,4501998,4237854,4176699,4158608,4922021,7080818,7566786,5674861,4362250,4671469,6089405,6769888
