user_id,count
22254,24
11888,30
9993,35
24269,73
3606,18
16576,72
20428,14
13282,32
21452,75
14204,32
25912,43
2136,8
13865,8
4032,6
13610,31
18574,8
2162,8
11078,32
21889,46
21249,9
16974,7
16504,44
26112,80
296,76
23097,83
675,41
12529,77
15634,66
25894,60
7273,15
1090,3
21783,3
23459,7
8304,3
9583,4
11563,3
18130,3
19338,4
10351,2
14887,3
18314,2
22596,2
26439,2
691,2
24114,2
18556,1
6731,1
16250,27
19990,10
13187,28
4894,35
19919,10
11247,49
20256,30
6558,8
2393,84
23479,29
11205,76
21711,17
10272,11
944,16
8092,53
9569,19
3368,33
19369,64
12888,13
6797,74
5067,49
4838,14
22542,15
5523,9
24528,78
20959,76
19289,76
2756,74
25821,76
3015,34
6366,3
17551,2
16549,2
9975,2
1669,2
14879,1
853,2
15539,2
26222,2
1394,2
23514,1
3281,35
1808,38
2700,93
10250,75
24580,75
3838,76
11822,16
12811,18
19051,38
24285,40
25685,8
13460,16
6081,8
7418,73
4850,10
11351,29
13107,11
7301,75
5316,71
19817,43
3836,73
11687,16
1361,73
8763,53
25155,6
1870,6
14525,4
17260,1
17438,4
12003,2
26456,4
5913,2
18683,2
23565,2
17741,2
3949,2
12204,2
13660,2
16619,2
3526,2
19390,2
5757,2
2725,2
24905,2
21016,1
25865,2
5181,3
11251,2
11106,2
18462,1
26360,1
919,1
22335,18
10110,19
12608,75
10993,39
4249,8
14439,9
17128,7
14340,27
6380,7
591,89
17718,5
3266,31
16946,9
14649,75
22920,75
8583,75
22154,8
26541,13
4988,29
12710,16
14392,74
22431,54
13027,53
10616,37
11902,28
4236,28
22893,77
18714,17
18211,8
13805,24
21833,9
9835,15
6143,13
9622,8
25835,9
11878,29
14313,13
25582,29
3312,9
15176,7
26338,4
8409,3
16093,2
8145,2
12957,2
20899,2
12816,2
5082,2
17715,2
4665,1
14810,35
6033,75
17375,9
18750,75
8179,44
10668,13
22043,30
20098,30
1773,23
10417,14
17099,30
7014,16
23535,28
6464,37
20592,9
18339,76
22652,13
3895,62
16654,28
22831,21
13180,19
6758,13
26415,29
23959,10
5134,40
21117,6
13655,7
16798,4
8279,4
11795,4
16133,5
3898,1
26131,2
24758,1
15829,2
13337,2
24521,2
19253,2
7013,2
7544,1
307,1
8082,1
13906,2
5986,2
2644,75
6264,97
740,23
13071,77
17930,35
6278,4
4417,8
5543,31
22895,40
20714,76
14116,75
15107,65
26196,7
22184,27
19985,16
4465,79
12508,29
22049,47
14361,14
17403,77
544,9
24631,16
3786,6
23171,29
6217,30
9028,9
169,28
19333,8
9296,11
14164,52
12466,74
17570,12
3241,27
2915,2
577,4
334,7
2477,4
9314,4
17855,1
24174,1
12386,2
12789,2
15343,2
